Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_method,50,105,0,1099,142.36,0.000%,28.29655,4.64,4.15,168.0
user_info_2,50,84,0,103,7.98,0.000%,28.31257,12.94,21.85,468.0
user_info_3,50,82,0,100,8.19,0.000%,28.29655,10.22,21.93,370.0
object_info_1,50,82,0,101,7.45,0.000%,28.02691,6.32,4.52,231.0
object_info_2,50,83,0,108,10.00,0.000%,27.93296,12.77,4.50,468.0
object_info_3,50,83,0,97,8.74,0.000%,27.83964,14.27,4.49,525.0
object_info_4,50,83,0,118,9.87,0.000%,27.65487,6.43,4.46,238.0
TOTAL,350,86,0,1099,54.96,0.000%,153.57613,52.88,51.28,352.6
