Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_method,250,179,0,297,59.57,0.000%,76.42923,12.54,11.20,168.0
user_info_2,250,189,0,298,60.48,0.000%,72.46377,33.12,55.80,468.0
user_info_3,250,194,0,297,56.04,0.000%,70.38288,25.43,54.35,370.0
object_info_1,250,190,0,296,56.66,0.000%,70.06726,15.81,11.29,231.0
object_info_2,250,186,0,296,58.77,0.000%,69.94964,31.97,11.27,468.0
object_info_3,250,181,0,300,63.37,0.000%,69.83240,35.80,11.25,525.0
object_info_4,250,174,0,300,66.00,0.000%,70.04763,16.28,11.29,238.0
TOTAL,1750,185,0,300,60.58,0.000%,425.79075,146.60,141.92,352.6
